"M2"	"M21"	"M5"	"M24"	"M3"	"M18"	"M23"	"M13"	"M16"	"M10"	"M6"	"M8"	"M14"	"M15"	"M11"	"M1"	"M22"	"M26"	"Sample"	"Isolate"	"DPI"	"Stage"	"Replicate"
"X3D1.9.14d"	0.0730500137059435	-0.116453752199196	-0.0688731984656726	0.0782862374585337	-0.0349019797110612	-0.0975646621004452	0.069076333365276	0.0991649770307432	0.0871599699295964	0.0584410913722744	0.0567659130031643	0.0703202248372105	-0.164064670365768	0.0532615443990479	-0.235171099495619	0.208138902168465	0.044922295186349	-0.0477811278722175	"X3D1.9.14d"	"X3D1"	14	"C"	2
"X3D1.10.14d"	0.0587347496738824	-0.116279446646446	-0.0981428914506862	0.069542874791318	-0.0766954848454172	-0.0763041916888904	0.0602633185226276	0.0291781756284424	0.0833809214017103	0.0522426346535533	0.03767306688285	0.0456176802345211	-0.214039442910241	0.0413741390338185	-0.111228497572462	0.213635233521054	0.0287467352085498	-0.025045373019364	"X3D1.10.14d"	"X3D1"	14	"C"	3
"X3D1.1.28d"	0.143229842570244	0.222044686766282	0.158715742425515	0.0507617204278104	-0.0418927421512913	-0.101029169305097	0.0729445013632374	-0.0358410962490074	-0.129678427472588	0.0810673416936185	0.0149755883251014	-0.0223752323762514	-0.140376019465238	0.0112298849945971	0.0408672152848856	-0.152784096392645	-0.254810348521519	-0.178880019777213	"X3D1.1.28d"	"X3D1"	28	"D"	1
"X3D1.4.28d"	0.117966567599131	0.234512362713733	0.15890765648016	0.0466192818650791	-0.0404839068432712	-0.0844918655517041	0.0778376151510668	-0.0399006018567134	-0.120381287567438	0.0703242086623385	0.00665936859438372	-0.0287543683957474	-0.142177453902953	0.00223537584364193	0.0409191768781174	-0.151529172529792	-0.241359479605258	-0.173817809712282	"X3D1.4.28d"	"X3D1"	28	"D"	2
"X3D1.5.28d"	0.147333546691512	0.214492007439027	0.144392016147585	0.053763741445469	-0.0463466994564024	-0.112520436217501	0.0823282760641119	-0.031238754712277	-0.113786010431685	0.0853435990273949	0.0272283364839046	-0.0141762770310954	-0.142175749880089	0.0181843588889161	0.019558686625368	-0.145815132301365	-0.250365881204817	-0.195427670175352	"X3D1.5.28d"	"X3D1"	28	"D"	3
"X3D7.2.7d"	-0.0428285914496806	-0.0681045489393181	-0.131491876667676	0.0446504344000173	-0.0569650739551174	0.0382378518171027	-0.257796578259726	-0.0940022435222059	-0.0033264226343109	-0.0812780081739973	-0.0643854840556334	-0.0639299949174793	0.014263054156773	-0.0731809691778526	0.1899964465175	0.0887965647352203	0.0835403559865864	0.200005969419832	"X3D7.2.7d"	"X3D7"	7	"A"	1
"X3D7.8.7d"	-0.0362500057821315	0.000703404660080112	-0.0938285724482781	0.0255227388322026	-0.0699015650981503	0.0103404040336154	-0.265046776688732	-0.117228535486554	-0.0575251809916299	-0.103030289525653	-0.0698285745967304	-0.105189101464919	0.0111304370885908	-0.0917076970619328	0.209166307105124	0.0335108577144625	0.0336350126782291	0.197469635628494	"X3D7.8.7d"	"X3D7"	7	"A"	2
"X3D7.10.7d"	-0.0452270796303755	-0.0184895762725382	-0.100373807578473	0.0288184537504026	-0.055064081046324	0.0595887437138708	-0.271664283778058	-0.158871385962514	-0.0579778801409639	-0.0900926132912272	-0.0760837265440846	-0.0953937901091513	-0.010333220162615	-0.0833084512449742	0.193799756034633	-0.0206950381630632	0.04185322776738	0.20146708390376	"X3D7.10.7d"	"X3D7"	7	"A"	3
"X3D7.2.12d"	-0.0222191532195603	-0.0407942057858377	-0.140533353612798	0.0334506551383165	-0.074109409460577	0.0208352866318086	-0.259085541442783	-0.065789875498345	-0.0356428804263404	-0.089032278257567	-0.0776899640511459	-0.083285807146763	0.0135050913282531	-0.0681980894878187	0.252647372243536	0.10059307874045	0.0527058129836226	0.184385673801938	"X3D7.2.12d"	"X3D7"	12	"B"	1
"X3D7.3.12d"	0.107181698190244	-0.0994711483240695	-0.0849171949067478	0.0257580649145083	-0.0832364321321707	-0.120469997757212	-0.252774184263041	0.145803665037071	0.0151934656879539	0.0148827422512621	0.0320440636966207	0.000488453565744412	0.00759555111161487	-0.00116829849311037	-0.0638524068655626	0.147369460207473	0.0309045022667575	0.0115638450755421	"X3D7.3.12d"	"X3D7"	12	"B"	2
"X3D7.6.12d"	0.0331941414231047	-0.114686125532918	-0.0891157798009873	0.0418201881456372	-0.0234097402950412	-0.0367068240897723	-0.238505682596791	0.0816535692187473	0.0365068517897886	-0.00183060026045699	0.00782834694472252	0.0143209746538744	0.0281743260964104	0.0239963651324288	0.00152447707791169	0.180668430957415	0.0643321831160839	0.0553807206059878	"X3D7.6.12d"	"X3D7"	12	"B"	3
"X3D7.4.14d"	0.183528992091566	0.0846874662335839	0.049048870865866	0.100569631195723	-0.0503640173447569	-0.232049624793923	-0.240144545939591	0.140927282532857	-0.0168327060102359	0.0558607068629038	0.0787350592926877	0.0142268547242812	0.0416494428318909	0.0334771623807066	-0.0823679881398684	-0.000295750036050743	-0.0566779138643443	-0.0841725516830644	"X3D7.4.14d"	"X3D7"	14	"C"	1
"X3D7.5.14d"	0.176994382596459	-0.045044686872537	-0.0308334199224979	0.0780121507387119	-0.0579568829200058	-0.172888336575605	-0.242634818667146	0.177037799640118	0.00837970456055187	0.0216897597432351	0.05638898716776	0.0111755367646063	0.033680019487323	0.024212940055086	-0.0611954759886426	0.0818850406583842	0.00608729171910041	-0.031512825424851	"X3D7.5.14d"	"X3D7"	14	"C"	2
"X3D7.10.14d"	0.185428431916602	0.155125202280108	0.107392230844143	0.086410451398824	-0.045204416478872	-0.248752191286176	-0.239426988230859	0.111817932561624	-0.0294791409180492	0.0790011993892332	0.0736481131311854	0.0166396098212366	0.0422292045985786	0.0336671044267571	-0.109140449250989	-0.037909644078832	-0.117916749059384	-0.168658831330545	"X3D7.10.14d"	"X3D7"	14	"C"	3
"X3D7.1.28d"	0.139491989620412	0.262601336420866	0.187748000270701	0.0513425783505673	-0.0364653586788015	-0.131769879595071	-0.224892931661082	-0.0436519589322606	-0.13992868587334	0.08709751488646	0.0116127856251825	-0.0347085528287613	0.0287575428496442	0.00859749438702987	0.104258157743955	-0.146156640887876	-0.241587922869549	-0.147122285921272	"X3D7.1.28d"	"X3D7"	28	"D"	1
"X3D7.5.28d"	0.144806395558763	0.222584362356603	0.176229255175885	0.0569194190811834	-0.00971378546359449	-0.112768295371621	-0.216377569901973	-0.0198162988722925	-0.0953100178430523	0.0984654756143055	0.0338585345309379	0.000372559551039371	0.0401255694746605	0.0352884830477713	0.0262676343365451	-0.129375879289285	-0.195459201644207	-0.15275592693185	"X3D7.5.28d"	"X3D7"	28	"D"	2
"X3D7.10.28d"	0.122922798925635	0.237606217388822	0.177003757797983	0.0505391567077499	-0.0205291523360953	-0.105414253134994	-0.219286493600743	-0.0391046064677594	-0.116598404129749	0.0842730496556084	0.0178188862618675	-0.0189838536792163	0.0303743081088672	0.0183598571249813	0.0795715984933578	-0.142141155605064	-0.214707817934507	-0.143266872888548	"X3D7.10.28d"	"X3D7"	28	"D"	3
"X1A5.1.7d"	0.00716032040622735	-0.113395653055811	-0.198450264159571	-0.389432212176896	-0.165560634483654	-0.0336089611491271	-0.0366219685608256	-0.181241825818267	-0.0683854886721885	-0.125562000587621	-0.0942290028550457	-0.0909812314251744	-0.0365109882220091	-0.0883591933961711	0.0260252817095324	0.136278893835304	0.0937547878095644	0.0907470180061642	"X1A5.1.7d"	"X1A5"	7	"A"	1
"X1A5.7.7d"	-0.0368037324109644	0.0126942505353824	-0.109298962486093	-0.260970184943956	-0.101800933276393	0.054913037323028	-0.0414552064936836	-0.180802439269389	-0.0690563495911053	-0.0939705568687838	-0.0752769473839358	-0.102705817068684	0.0139610120840568	-0.0951262779669572	0.187890028390561	-0.122538634783993	0.020772101754872	0.202327803015069	"X1A5.7.7d"	"X1A5"	7	"A"	2
"X1A5.10.7d"	-0.0337855064179998	-0.0263210513938446	-0.121679366886156	-0.306309579456849	-0.114700729313196	0.0269738992528337	-0.0356738072270213	-0.178872988309695	-0.0574157633930058	-0.123681107667514	-0.0712525456840201	-0.100191553736283	-0.00243120580037658	-0.0936591913927921	0.136677806815007	-0.0340793992071971	0.0297842060773905	0.167285478444869	"X1A5.10.7d"	"X1A5"	7	"A"	3
"X1A5.3.12d"	0.0229809602479526	-0.0854150778465466	-0.153374744735268	-0.284598469968599	-0.144200465704147	-0.0351123075987751	-0.0315532056419898	-0.0612443669020467	0.007011719115302	-0.0835894700906782	-0.0464655959933027	-0.0758069530673002	0.00716914156772527	-0.0466438036062822	0.0544173852652679	0.125385886857119	0.0271673856276929	0.0795798005949911	"X1A5.3.12d"	"X1A5"	12	"B"	1
"X1A5.5.12d"	0.0645195683792372	-0.0893486454815522	-0.0765382627528409	-0.278429013170559	-0.0973855879280674	-0.0685373638263332	0.032749507319136	0.0954509180341577	0.0250871879425354	-0.0060838406776028	0.00631791491119566	-0.0103328836925257	0.0427876792426015	0.0118014938977749	-0.00503304679315593	0.150319128621311	0.023629685611177	0.0286683641172274	"X1A5.5.12d"	"X1A5"	12	"B"	2
"X1A5.7.12d"	0.0721096122372239	-0.118840361990809	-0.130797264037797	-0.275543029197708	-0.115407930808182	-0.0884529924134383	0.0350138082677631	0.0204637588135233	0.0385635446747472	-0.0210696101222066	0.00787991293483196	-0.00725245469623851	0.0258896670893599	-6.12813085914496e-05	-0.0591058690200885	0.188661340872308	0.0494806575499343	0.0191691043072588	"X1A5.7.12d"	"X1A5"	12	"B"	3
"X1A5.8.14d"	0.108391645025286	-0.120322316386951	-0.0528289018766247	-0.258182134599478	-0.0844831996228237	-0.129986613839129	0.076842665818314	0.190406113415654	0.0532996435505665	0.020750536978155	0.0527790528164603	0.0458587034788975	0.0752676962115316	0.059383038199184	-0.16136705216264	0.153724634032795	0.030471025013366	-0.0529890166396993	"X1A5.8.14d"	"X1A5"	14	"C"	1
"X1A5.9.14d"	0.137407574371369	0.0336754907218159	0.0413355015125628	-0.200838075292433	-0.0276415485389409	-0.116247630422922	0.0810810989522841	0.15338597330047	0.0314312500901003	0.0375225956205596	0.0679455338649924	0.0450760344465064	0.0589231586260948	0.0644898589181683	-0.157521727509137	0.0409269638177399	-0.033154538779359	-0.123083268236686	"X1A5.9.14d"	"X1A5"	14	"C"	2
"X1A5.10.14d"	0.171676775958736	0.0244161731980931	-0.0322313800498275	-0.21341443451215	-0.0893521365123646	-0.151308832473909	0.0664875162391243	0.128470420963301	0.0124889594381413	0.0162661896302455	0.0570118991642954	0.0133851011413271	0.0374056253461591	0.0423101604869228	-0.146302004450013	0.075226904951009	-0.0242234700526967	-0.118333329045594	"X1A5.10.14d"	"X1A5"	14	"C"	3
"X1A5.3.28d"	0.159466737086277	0.222907164369016	0.128272014926465	-0.19210642743698	-0.0547808480779672	-0.111000061350314	0.0778719375813226	-0.0366133065913082	-0.0933253146364043	0.0897139237997801	0.0415887068079262	-0.000478091952415697	0.0350631052343449	0.0439541649347774	0.0243565852007728	-0.154794345728462	-0.226683044177382	-0.197208409480318	"X1A5.3.28d"	"X1A5"	28	"D"	1
"X1A5.6.28d"	0.151775524695224	0.223177507747281	0.146127910827662	-0.19677149957861	-0.0494875658381707	-0.118411166801296	0.0782623764199446	-0.0258636477452652	-0.0880949394944078	0.0957311077887647	0.0486188910123853	0.00655039867225386	0.0430343131989324	0.0485894975666208	0.00508084419309059	-0.148086749181409	-0.219720658274837	-0.196395647793065	"X1A5.6.28d"	"X1A5"	28	"D"	2
"X1A5.7.28d"	0.151946970392246	0.228797995664891	0.14183206762607	-0.185079904993192	-0.0501822940011035	-0.118677956627643	0.0833324488751022	-0.0324145317678644	-0.0945930399574348	0.100048336562477	0.0480001995967514	0.00485713581729404	0.0370728684618484	0.0531655592004931	0.020083237898775	-0.155592024592914	-0.247912057501659	-0.207888091087324	"X1A5.7.28d"	"X1A5"	28	"D"	3
"X1E4.4.7d"	-0.0334772659125869	-0.0225942084438961	-0.131363653537072	0.00162260108141316	-0.0783495566342537	0.0235990035522368	-0.0198329085167279	-0.127823774719568	-0.0348559513488718	-0.0810845334551486	-0.0590272443691321	-0.0831715247281229	-0.00280469931962538	-0.0891565754737874	0.144188058941331	0.0445126647523337	0.0359435591275212	0.174616804415679	"X1E4.4.7d"	"X1E4"	7	"A"	1
"X1E4.5.7d"	-0.031807920520659	-0.0224568193058439	-0.0630199830639208	-0.00342159043958293	-0.0254603691231954	0.0542862080784396	0.0233256573816351	-0.118913286690848	0.00806981836248832	-0.0349300690398696	-0.0196552168750543	-0.0307935661705148	0.0299834104368796	-0.032535984254209	0.0732678244089402	0.0105120536317463	0.0351429986822186	0.155949263852444	"X1E4.5.7d"	"X1E4"	7	"A"	2
"X1E4.6.7d"	-0.00597805498977898	0.0321164289500143	-0.0883299463553449	0.0204827265323229	-0.0883321997691111	0.00451877172457527	0.000645116365182378	-0.163505435319105	-0.0284613486520371	-0.0375934705610818	-0.0366874769515495	-0.0705028235515364	-0.000536128548304289	-0.0582004852485966	0.121117676088379	-0.0840049051560381	0.00421217454457671	0.159839639888592	"X1E4.6.7d"	"X1E4"	7	"A"	3
"X1E4.3.12d"	0.0672873396766901	0.113422730433797	0.102677689016923	0.0349719609116061	-0.0205625636241907	-0.0866358773435309	0.0740850033522596	0.0909762129645083	-0.0330390057979805	0.0533348292918508	0.0186302368833286	0.00391817075786048	0.0423567635976336	0.0330390856241069	-0.00523441831308531	0.0582955101063881	-0.112702718124479	-0.103258840761434	"X1E4.3.12d"	"X1E4"	12	"B"	1
"X1E4.6.12d"	0.0489645100191441	-0.0944996368765096	-0.0753539566610933	0.0184197995120638	-0.0373215896930061	-0.0440875594675236	0.0458028080502781	0.080947125002116	0.0711326830338389	0.0191210977925254	0.0297643514428179	0.0230290773907053	0.0511293974616753	0.036646163824008	-0.0935383055805066	0.1776835598292	0.0731727644509411	0.043153674112485	"X1E4.6.12d"	"X1E4"	12	"B"	2
"X1E4.7.12d"	0.0606195775940932	-0.101071526727271	-0.0880902400650448	0.0372027624864089	-0.031581352981887	-0.0491262113304611	0.0584430222331152	0.0895206381898353	0.0669672539137653	0.00613124177077509	0.0249709778207753	0.0317521405566005	0.0418890975075344	0.0316435511626436	-0.0942449836133037	0.169820324000705	0.0687923793511477	0.0432900309167402	"X1E4.7.12d"	"X1E4"	12	"B"	3
