"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M14"	-0.372107503668798	9.39039548280501e-18	-28.8433386056286	3.48352833404495e-31	6.27035100128091e-30	60.9051738048828
"M15"	-0.351803507307386	-2.93638088381491e-18	-6.81693978409923	1.68317498476342e-08	1.51485748628708e-07	8.06984046433586
"M3"	-0.140556566884771	-8.89045781438114e-18	-6.09334983331081	2.06808957351638e-07	1.10721188839601e-06	5.56520793712323
"M23"	-0.0840728035604551	-2.55841595979566e-18	-6.04314404127925	2.46047086310225e-07	1.10721188839601e-06	5.39220132612286
"M10"	-0.335809606290026	1.86723707483615e-18	-4.82266483185679	1.57808986616808e-05	5.68112351820509e-05	1.2727634581343
"M8"	-0.307722555961469	1.89358921097295e-18	-4.64535683903393	2.84014085018589e-05	8.52042255055766e-05	0.695894681851623
"M16"	-0.3053595178918	-1.76303319936948e-17	-4.44423093576687	5.48808519475515e-05	0.000141122190722275	0.0511900979523556
"M5"	-0.117775424306578	-3.80073094910196e-18	-3.902256498172	0.00030776124066351	0.000692462791492897	-1.62429975453252
"M11"	0.145502266263454	9.43255890062389e-18	2.77893006488924	0.00786068119623222	0.0142918811170646	-4.69736702792815
"M13"	-0.0885017166189056	-6.15887067425794e-18	-2.77511418754291	0.00793993395392475	0.0142918811170646	-4.70663815697339
"M18"	-0.0456358018548686	-2.44848990619643e-18	-2.08899696306723	0.0422461551452544	0.0691300720558708	-6.21405762710714
"M6"	-0.105227073132027	1.69557173085928e-18	-1.20644973750452	0.233787785233436	0.350681677850154	-7.61126881369784
"M2"	-0.0204657335334265	-1.17455235352596e-17	-1.05511750814264	0.296860023771687	0.411036955991566	-7.78127120001703
"M1"	-0.0286546192541785	1.6746406055849e-17	-0.692854899938361	0.491870091527707	0.632404403392766	-8.09907915540842
"M22"	-0.0158980348080139	1.10829555409629e-18	-0.583474053164566	0.562412919605962	0.663114465419778	-8.16972605615031
"M26"	0.0177606683515047	-8.78203759713259e-18	0.543447918210801	0.589435080373136	0.663114465419778	-8.19259723616349
"M24"	0.00352036944282114	6.47509630789954e-19	0.218413014826031	0.828069577502629	0.876779552649842	-8.31855578433937
"M21"	0.00276507098574075	5.86523258587644e-18	0.0694340873362096	0.944943862054229	0.944943862054229	-8.34043699741058
