"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M24"	0.351901201186775	6.47509630789954e-19	21.832879622575	5.62006357320568e-26	1.01161144317702e-24	48.9515488828611
"M23"	-0.226918885481662	-2.55841595979566e-18	-16.3109049844657	8.59739722475746e-21	7.73765750228171e-20	36.8914644031468
"M3"	0.0667105256578839	-8.89045781438114e-18	2.89200696493097	0.0058194754057052	0.0349168524342312	-4.14186902799138
"M13"	0.0569383628086922	-6.15887067425794e-18	1.78539427801464	0.0807649833081836	0.363442424886826	-6.49142308625857
"M11"	0.0807897975807185	9.43255890062389e-18	1.54299450585097	0.129656960316994	0.466765057141178	-6.87973442374644
"M26"	0.0461941298286612	-8.78203759713259e-18	1.4134661597247	0.164223664919602	0.492670994758806	-7.06631080783418
"M5"	0.0345781122791309	-3.80073094910196e-18	1.14567758197601	0.257830443870325	0.595391582116944	-7.40393881246253
"M2"	-0.0202922528131503	-1.17455235352596e-17	-1.0461736535288	0.300925446936134	0.595391582116944	-7.51241153590341
"M14"	0.0133471510070259	9.39039548280501e-18	1.0345838020476	0.306250348411165	0.595391582116944	-7.52443640144247
"M1"	0.040650508147502	1.6746406055849e-17	0.982909718853581	0.33077310117608	0.595391582116944	-7.57649071270192
"M18"	0.0199630080459514	-2.44848990619643e-18	0.913814625506141	0.36556037513346	0.598189704763844	-7.64209137168492
"M16"	0.0253427059631316	-1.76303319936948e-17	0.368840108914835	0.71393240852981	0.907830172543793	-7.9951114577195
"M21"	0.013710577787499	5.86523258587644e-18	0.34428825170724	0.732192269116504	0.907830172543793	-8.00402206562551
"M10"	0.0229375847110137	1.86723707483615e-18	0.329413694669602	0.743332337188572	0.907830172543793	-8.00912354741195
"M15"	0.00964918175705362	-2.93638088381491e-18	0.186973380416559	0.85250044690381	0.907830172543793	-8.04660232463588
"M22"	0.00490583359678956	1.10829555409629e-18	0.180049084521239	0.857901716084518	0.907830172543793	-8.04789831871713
"M8"	0.00978857191286417	1.89358921097295e-18	0.147767554242896	0.883169454125457	0.907830172543793	-8.05329568117713
"M6"	0.0101535702421844	1.69557173085928e-18	0.116412742356214	0.907830172543793	0.907830172543793	-8.05752129537712
