"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M22"	-0.0511010238447538	1.10829555409629e-18	-1.53130632547795	0.132515317112575	0.910172056445671	-4.72699118026448
"M26"	0.0404009695769043	-8.78203759713259e-18	1.00935696231943	0.3180625286645	0.910172056445671	-5.31810348755966
"M14"	-0.0154258984455008	9.39039548280501e-18	-0.976296964408351	0.334003544096171	0.910172056445671	-5.34783621347322
"M21"	0.0427650211342749	5.86523258587644e-18	0.876818102855802	0.385123567488733	0.910172056445671	-5.43157431000187
"M11"	0.0450600616418858	9.43255890062389e-18	0.702674206057903	0.485785633192423	0.910172056445671	-5.55718940689632
"M2"	-0.0147433221012959	-1.17455235352596e-17	-0.620616386862797	0.537902776399773	0.910172056445671	-5.60700210961712
"M16"	-0.0387405007533542	-1.76303319936948e-17	-0.460367606720358	0.647412657240715	0.910172056445671	-5.6867311198579
"M1"	-0.0201518050418333	1.6746406055849e-17	-0.397846895880832	0.692576084609767	0.910172056445671	-5.71149288300802
"M13"	-0.014348404664274	-6.15887067425794e-18	-0.367356010641717	0.715031506364923	0.910172056445671	-5.72227000016151
"M24"	-0.0069977155101876	6.47509630789954e-19	-0.354487498570901	0.724587079515926	0.910172056445671	-5.72656234353927
"M18"	0.00934479960798926	-2.44848990619643e-18	0.349266141183898	0.728476997155679	0.910172056445671	-5.72826056204083
"M8"	-0.0271203459655242	1.89358921097295e-18	-0.334279193196091	0.73968215131713	0.910172056445671	-5.732995795008
"M15"	-0.0186250602079739	-2.93638088381491e-18	-0.294673681333524	0.769563675653032	0.910172056445671	-5.74451479500208
"M6"	-0.0266096811771105	1.69557173085928e-18	-0.249101179580872	0.804387011748019	0.910172056445671	-5.75598095156392
"M5"	0.00920706676547199	-3.80073094910196e-18	0.249078819021574	0.804404203356082	0.910172056445671	-5.75598610731567
"M23"	-0.00393363528747107	-2.55841595979566e-18	-0.230863820124808	0.818440266520135	0.910172056445671	-5.76003267163955
"M3"	-0.00502493953280078	-8.89045781438114e-18	-0.177864871253109	0.859606942198689	0.910172056445671	-5.77006325954987
"M10"	-0.0049985058256864	1.86723707483615e-18	-0.0586122694762406	0.953513809436095	0.953513809436095	-5.7831290907205
