"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M13"	0.0827685096092757	-6.15887067425794e-18	2.11908642167938	0.0394906965670795	0.710832538207431	-3.80713787303253
"M1"	0.0875127434651483	1.6746406055849e-17	1.7277198377688	0.0907207503852172	0.816486753466955	-4.44796303158671
"M24"	0.0220382220051457	6.47509630789954e-19	1.11640351485865	0.270024156686201	0.941905841605528	-5.21538676368222
"M22"	0.0355886666806095	1.10829555409629e-18	1.0664590707401	0.29175949721258	0.941905841605528	-5.26453092035875
"M21"	-0.0494404999836418	5.86523258587644e-18	-1.01368651879737	0.31601363171515	0.941905841605528	-5.31413977475337
"M23"	0.016238265334347	-2.55841595979566e-18	0.953018694749838	0.345541989512906	0.941905841605528	-5.36820380050439
"M2"	-0.0206652295462904	-1.17455235352596e-17	-0.869897571700053	0.388855163673226	0.941905841605528	-5.43707787308534
"M5"	-0.0301671936380553	-3.80073094910196e-18	-0.816113226499097	0.418624818491346	0.941905841605528	-5.478412971364
"M11"	-0.0451266803828638	9.43255890062389e-18	-0.703713069948	0.485144377851462	0.95681819303131	-5.5565200339368
"M18"	-0.0107371181737284	-2.44848990619643e-18	-0.401304681672091	0.690046624655412	0.95681819303131	-5.71021688631056
"M16"	0.0209523693550305	-1.76303319936948e-17	0.24898470457332	0.804476563024274	0.95681819303131	-5.75600780255192
"M8"	0.0162082004228807	1.89358921097295e-18	0.199778578319341	0.842530788769109	0.95681819303131	-5.76623068577465
"M15"	0.00784605760875762	-2.93638088381491e-18	0.124135259360809	0.901746883356855	0.95681819303131	-5.77758016953763
"M26"	0.00410854256537997	-8.78203759713259e-18	0.102645705951638	0.918688559288554	0.95681819303131	-5.77983836148546
"M6"	0.010548136719326	1.69557173085928e-18	0.098744260845358	0.921768663698431	0.95681819303131	-5.78020246029636
"M10"	-0.00563712333520187	1.86723707483615e-18	-0.0661006715838497	0.947582986737596	0.95681819303131	-5.78269625736635
"M14"	0.00103767286696189	9.39039548280501e-18	0.0656737676345385	0.947921017746975	0.95681819303131	-5.78272232951857
"M3"	0.00153805263176307	-8.89045781438114e-18	0.0544415572651808	0.95681819303131	0.95681819303131	-5.78334762660109
