"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M2"	-0.0309321007380817	-1.17455235352596e-17	-1.3020788982462	0.199346018848448	0.989817141915117	-5.01426172640444
"M24"	0.0132172002072921	6.47509630789954e-19	0.669551689086623	0.50647730935618	0.989817141915117	-5.57802434725418
"M11"	0.0379528342582213	9.43255890062389e-18	0.591842902745899	0.556842017803989	0.989817141915117	-5.62303292034991
"M18"	0.0126666262119292	-2.44848990619643e-18	0.473420923341904	0.63814306283752	0.989817141915117	-5.68111036992464
"M23"	0.00778931878918686	-2.55841595979566e-18	0.457152674415256	0.649704456789356	0.989817141915117	-5.68809159245516
"M21"	-0.021992871042365	5.86523258587644e-18	-0.450923370367832	0.654154824197853	0.989817141915117	-5.69070079666863
"M5"	-0.0152410281751569	-3.80073094910196e-18	-0.412315604441912	0.682015763363576	0.989817141915117	-5.70608062691073
"M26"	0.0163304011599935	-8.78203759713259e-18	0.407990310156606	0.685166063625147	0.989817141915117	-5.70771867286809
"M13"	0.0147993296519177	-6.15887067425794e-18	0.378900848443224	0.706497858323143	0.989817141915117	-5.71828977622327
"M1"	0.0175919643782366	1.6746406055849e-17	0.347309256207992	0.729936747831902	0.989817141915117	-5.72889057392221
"M22"	-0.00855581230968218	1.10829555409629e-18	-0.256385655779058	0.7987916899459	0.989817141915117	-5.75427678406793
"M14"	-0.00351937734146232	9.39039548280501e-18	-0.222739532949495	0.824720389946415	0.989817141915117	-5.76173872754002
"M3"	-0.00411484157301067	-8.89045781438114e-18	-0.145650661432447	0.88483100759649	0.989817141915117	-5.77489086010325
"M16"	-0.00728008854155587	-1.76303319936948e-17	-0.0865119674091512	0.931433428114115	0.989817141915117	-5.78125261265672
"M15"	-0.00355348754270424	-2.93638088381491e-18	-0.0562209863532778	0.955408284786403	0.989817141915117	-5.78325636039317
"M6"	-0.00540742020343828	1.69557173085928e-18	-0.0506204768933718	0.959846243643586	0.989817141915117	-5.78353369118821
"M8"	-0.00386638332342544	1.89358921097295e-18	-0.0476561582062581	0.96219576001216	0.989817141915117	-5.78366871503432
"M10"	-0.00109431948091443	1.86723707483615e-18	-0.0128319442940028	0.989817141915117	0.989817141915117	-5.78464505013879
